@relation kin8nm

@attribute theta1 numeric
@attribute theta2 numeric
@attribute theta3 numeric
@attribute theta4 numeric
@attribute theta5 numeric
@attribute theta6 numeric
@attribute theta7 numeric
@attribute theta8 numeric
@attribute binaryClass {P,N}

@data
1.02928,-0.312409,-0.241162,-0.487528,-1.110468,0.15486,-0.220379,-0.778876,P
1.497326,-1.06147,-0.561126,-0.602276,0.560147,1.489491,0.030229,0.442513,N
1.393973,0.97874,0.211845,-0.233845,-0.970071,-1.474085,-0.885039,1.160103,N
-1.502945,0.296817,1.058195,-0.10217,0.880575,-0.342619,0.58868,1.13053,P
1.555939,-0.245859,0.519044,1.278385,-0.225918,0.139061,1.070926,0.463518,P
0.056499,-0.963123,-0.635017,0.469653,1.17553,-0.153032,0.874441,-0.798569,N
0.825064,1.424193,-0.748124,-1.356935,-0.35132,0.952798,0.358805,-0.66697,N
-0.147187,0.617555,-1.064388,-1.189719,1.557867,0.981952,-1.416582,-0.56242,N
-1.340269,-0.570818,-0.935882,0.625882,1.03749,0.886005,-1.511645,0.461681,N
-0.682361,0.681161,0.581941,1.141871,1.251664,-0.065828,-0.149808,-0.263484,P
1.505271,0.315617,0.898473,-0.564778,0.608943,-0.531751,-1.405466,1.267508,P
-0.15867,1.570331,-0.998676,-1.464362,-0.795748,0.686761,-0.02436,-0.125462,N
0.438901,0.0371,0.775558,-0.292898,-0.383812,0.176009,-1.008583,-0.630154,P
0.155301,1.508726,0.333438,0.136162,-1.030995,-1.193452,0.772065,-0.685731,P
-0.527242,1.362026,-0.513051,1.398023,1.090624,0.715659,1.3204,1.423667,P
1.068772,-1.208073,0.825288,0.608301,-1.078842,-1.076839,-0.244581,1.195319,P
-0.77881,0.027687,0.491684,0.975682,1.170734,0.28835,-1.472477,-0.754499,N
1.553242,0.375878,1.347965,-0.822796,0.730898,-1.183013,1.547813,-1.400576,P
-1.291661,-0.353635,1.226234,0.557745,0.57354,0.242319,-1.432081,0.475465,N
-0.533163,0.35737,0.463312,-0.498458,1.088326,1.144041,-1.244184,-1.069024,N
-1.045358,-0.41007,-1.125895,1.043251,1.141688,1.347156,-0.562099,-0.319105,N
-1.552708,0.61497,-1.10798,0.684037,-0.50628,0.197126,-0.421846,-0.504567,P
0.844897,-0.045502,1.534633,1.514504,1.522016,-1.286173,0.605888,-1.092463,P
0.193251,-1.353,0.108212,1.080964,-1.467135,0.596649,1.254998,-1.560072,N
-0.43812,-1.02635,-0.258638,-0.073425,0.215825,-0.081141,0.103158,-0.388607,N
0.412378,0.616797,1.029494,0.585025,-1.162274,-0.28244,-0.383405,0.058501,P
0.487056,-0.744117,-1.183309,-0.673142,0.079853,-0.030526,-0.482068,-0.097324,N
-1.047989,0.300758,1.545575,-0.615809,0.621921,-0.970041,0.048454,1.042854,P
1.363527,0.010105,-1.353991,-1.50279,0.552257,1.38304,0.687012,0.308155,N
-1.127091,0.194298,1.166318,1.011155,1.5206,0.10784,1.263279,-1.329624,P
0.779933,1.453456,-1.236603,-1.529903,-0.124588,-0.237042,1.038127,-0.841161,N
-1.539867,-0.790176,1.198725,0.861848,1.484629,-0.4327,-0.5982,-0.229969,N
-0.106596,-0.976858,-0.071122,-0.799592,-1.504268,0.399448,-0.854445,-0.929152,P
-0.855743,-0.08735,-1.537623,0.998793,1.298958,-0.062282,-0.439773,0.60778,N
-0.261043,-0.974533,-0.089607,1.181933,0.656134,-0.621426,0.910209,-1.500444,P
1.450605,1.281299,-1.203391,0.45028,0.654592,1.48656,1.472947,-0.392954,P
1.559818,-0.824662,0.180295,-0.234267,-0.12511,-0.477349,0.069971,-0.756865,N
-0.727946,0.613599,-1.426414,-0.9145,-1.005732,0.822627,1.051927,-0.322838,N
-1.226669,-1.086769,-0.242181,-1.337277,1.563319,-0.250449,-1.153934,-0.399988,N
-1.497739,-0.101065,1.169867,-0.667307,1.56934,0.44025,-1.109251,0.413966,P
1.083699,1.006794,-1.280422,0.062056,-0.922594,0.830659,-0.975726,-1.101516,P
-1.231818,0.570048,-0.144122,-0.03741,0.869391,-0.350894,0.087686,0.230085,N
-0.073676,-1.067239,-0.083828,-0.432164,0.304235,-0.708034,0.331986,-0.267466,N
-0.484148,1.415071,-1.461489,-0.02231,-1.230475,0.42636,0.22224,0.324428,P
-0.354339,1.239177,0.863477,-1.112412,0.515553,-0.140624,-0.16877,-1.141597,N
1.092374,1.231328,1.44116,-0.689263,0.393178,-0.994176,0.337408,-1.119139,P
0.05452,1.265827,-0.099836,-1.390492,1.370338,1.008718,0.239281,-0.649577,N
-1.035733,-0.11972,-0.334495,0.302565,0.251072,1.48421,0.364371,-0.41093,P
0.002151,-1.52071,-1.54503,-1.032731,0.611187,0.868243,1.02437,-1.282757,P
-1.547388,1.422087,1.087576,0.186047,-0.782324,-0.138704,0.659229,1.450343,P
-0.842573,-0.219153,1.100275,0.999192,-0.960731,-0.135999,-0.734929,0.291562,N
1.175128,-1.35576,0.899926,-1.532637,0.783936,1.337138,0.788243,-0.602258,P
-0.816036,-0.284834,1.426828,-1.108222,-0.229011,1.45939,-0.101596,0.053334,P
1.08241,0.574301,0.924568,0.616795,-0.528572,1.546567,1.496093,1.033093,P
-0.89101,1.302956,0.889073,-0.782228,0.715236,-0.38161,-0.471168,-0.386146,N
0.771767,-1.25815,1.242025,0.666528,1.238016,1.408237,1.035785,0.575025,P
-0.553465,0.341303,-1.167889,-0.581298,0.559359,-0.517016,0.873795,0.909199,N
0.172458,-0.272221,-0.046992,0.484253,1.497945,0.16388,-1.075087,0.202937,N
-1.181105,-1.055945,-1.248176,-1.025946,-0.754504,-0.848346,1.455839,-1.004236,N
0.90124,-0.405722,1.46059,1.136441,-1.478591,1.533075,1.556801,-1.560235,P
1.528271,1.43422,-0.265297,-0.722876,-0.685045,-0.949572,-1.176991,0.007056,N
-0.014509,-0.501807,-0.931318,-0.84231,0.389657,-0.172856,0.928121,-0.795125,N
1.187507,1.301369,-1.244407,-0.689996,-1.251746,0.78307,0.927129,0.662979,P
-0.101828,0.334085,-1.161286,-1.150258,1.159082,0.918178,-0.035367,-0.544854,N
0.742104,0.945453,0.980242,0.971638,-0.330621,0.318274,-0.659962,0.377768,P
0.422252,0.055617,0.415712,0.313964,0.725226,-0.907857,0.987137,-0.012946,N
-0.068935,-1.442874,-0.023697,-1.075102,-0.507191,0.36677,0.065879,-0.809065,N
0.659375,-0.424696,0.71325,1.197132,-1.221685,0.496108,1.384806,-1.142428,P
-1.41541,-0.164861,-0.721081,1.429231,0.592071,0.298432,1.523537,0.635675,N
-0.663237,0.071483,1.060313,0.45915,1.507522,-1.376788,-1.034752,-0.766075,N
-0.648435,1.330443,-1.568268,1.189853,-0.031604,1.2978,0.773506,-1.172198,N
-0.067619,-1.109834,0.080455,-1.513486,-0.239627,0.050378,0.413122,-0.203984,N
0.792265,-1.35003,1.32213,0.314736,0.109778,-1.528346,0.413867,-0.885102,P
1.531132,-1.372212,0.546231,-0.670806,0.920583,-1.246424,0.380682,-0.473244,N
0.952175,-0.333791,0.768092,0.941424,-0.108296,-0.508694,-1.294599,0.70314,P
-0.064863,0.852044,0.525802,1.458289,-1.142074,-1.353808,0.350816,-0.991243,P
-0.013374,0.921048,-0.140102,-1.249894,0.301747,1.100862,-0.609893,0.047166,N
1.414816,1.433834,1.495989,0.867386,0.933238,1.352737,0.552183,1.043335,P
0.103053,-0.710987,0.91841,1.167294,-1.040927,-0.254372,0.277345,-1.03179,P
0.992822,1.052836,1.072951,-0.537706,0.673057,0.483857,-0.778849,0.299521,N
1.361454,1.566385,0.344614,1.142766,-0.807818,-1.406179,0.909351,1.211099,N
-1.403382,-0.317263,-1.177033,-1.230203,0.97038,0.547384,-0.385612,0.566988,N
0.437343,-0.950031,0.214796,-1.207186,1.176146,1.306676,0.11973,0.919803,N
-0.897026,1.544823,0.37952,-0.772526,0.583377,-1.567712,-1.452681,-0.656501,P
0.191222,-1.427146,1.153388,0.349825,-0.094713,-0.004433,1.248294,-0.542909,P
0.019298,0.011232,1.358111,-1.550728,0.9383,0.897916,0.520774,-1.480165,P
0.758225,0.281509,-1.033195,-0.43435,-0.779897,-0.939974,0.179398,1.136761,N
1.187764,0.080262,-1.328717,0.945175,-1.012197,0.924115,-0.781199,1.522625,P
1.067513,1.22258,-1.311954,-1.477788,-0.265537,-0.441261,-0.889108,-0.650924,N
0.061857,-1.258013,0.822441,0.242592,1.323244,1.019877,1.311539,-1.061652,P
-0.230096,-0.503569,-0.240954,-0.551481,0.431359,0.544801,-1.526784,1.056882,N
0.072218,-0.032429,-0.20132,-1.036445,-0.947789,-1.270015,-0.13172,0.451654,P
1.115755,-1.531106,-0.096671,0.606326,1.532799,-1.164504,1.007671,0.869033,N
0.318929,-0.507908,-0.553072,-0.808131,0.692644,0.301581,-0.396376,0.566245,N
0.677124,-0.700762,0.485544,-1.160987,-1.477248,1.284938,1.434283,1.003391,P
-1.56409,0.115686,-1.31367,-0.276864,-0.104716,0.651503,0.557338,-0.073031,N
1.180939,-0.317666,0.259848,-0.553228,-0.670372,1.363252,-1.044459,0.924714,P
-0.543442,-1.450128,0.451937,1.00911,-1.18937,0.537352,0.995278,0.211813,P
-1.025338,0.180681,-0.660254,-1.351821,0.219298,-0.806699,-1.342466,0.517668,P
-1.211291,-1.206981,-0.7901,-0.05149,0.660403,0.92509,0.100498,1.377533,N
-0.642713,-0.460936,0.305442,-1.456257,0.151687,0.251759,-1.113417,-1.349426,N
-1.278547,0.212203,0.196226,0.839314,-1.564795,-0.410627,1.274694,-0.636598,P
-0.044781,0.790013,-0.709482,0.607277,-1.243501,0.674803,1.265847,0.962105,P
1.341776,1.376553,1.219505,-0.522965,1.503145,0.262453,0.232566,0.324675,N
0.879125,1.031335,0.462551,0.710858,-1.323471,0.25314,0.594928,-0.13699,P
0.539566,1.481225,-1.339075,-0.087438,-1.100792,0.814159,-0.73601,0.389737,P
-1.300092,0.959405,0.540166,0.70156,-0.174269,-1.211575,1.474449,0.094014,P
-0.872108,-1.072906,-0.630175,0.721076,-0.982832,0.862356,0.180409,-0.131182,P
1.147754,0.418157,-1.049524,-1.13764,0.028515,1.445267,0.491835,0.617213,N
0.923853,0.224507,0.691319,-0.587944,-1.418668,-0.198965,0.747909,-0.040315,P
1.44164,0.237312,1.39529,-1.270297,1.12925,-1.347701,0.591898,1.00697,P
-1.467613,-1.312439,-1.343083,0.391091,0.935795,0.076297,-1.38726,0.387139,N
-1.535222,-1.033987,-0.847796,0.858182,1.09162,0.553525,1.220361,0.40365,N
-0.577325,1.063546,1.354731,0.404849,-0.039928,0.831784,-0.844725,1.449129,P
1.281506,-0.647152,-1.295663,-0.38543,1.2281,-0.29727,-0.434604,-1.258468,N
-0.483001,-0.493056,1.307138,0.047317,0.407482,-1.077862,-0.181163,1.271374,P
0.069816,0.722586,-0.094968,0.429191,-0.124346,-1.195299,-0.610329,-1.138348,N
-1.556782,-0.892465,-0.200528,0.309457,-0.731454,1.0985,-0.507126,0.090287,N
1.487134,1.45031,0.64929,-1.431198,-0.488825,-0.656558,-0.130035,0.071574,P
-0.244323,-0.257004,-1.282833,1.023581,-0.415187,-1.499427,1.051547,-0.294165,P
-0.281425,0.21584,0.173919,-0.035664,-0.564148,0.987329,-1.254881,0.833093,N
1.332104,-0.921639,1.382531,0.635672,-0.311207,0.150775,-1.265599,-0.290783,P
-1.457683,1.211871,0.9852,-0.809422,0.295255,-1.198252,0.805185,1.127991,P
-1.140521,0.965261,-1.086903,-0.861559,-1.366415,-1.416961,-1.24452,-1.361049,N
1.256069,-0.048286,0.786908,-0.619249,-0.299203,1.548302,0.084653,-1.209224,P
-0.757938,-1.014814,-0.534426,0.370961,0.988055,0.501748,-0.3767,-0.465238,N
0.502361,-0.270495,-0.286419,-1.3172,-0.214535,0.847243,-0.887219,0.162436,N
-1.427661,-0.319716,-0.922071,0.624458,0.857289,-1.229791,-1.489316,0.010471,N
0.782227,-1.350381,0.223004,-0.801674,1.118491,-0.557599,1.27485,0.054732,N
-0.670364,-0.982077,0.104747,0.554547,-0.8135,-0.194563,0.741938,-0.597617,P
-1.052001,0.151508,1.182844,-0.840249,-0.28347,0.382115,0.768568,-0.470183,P
-0.089764,-1.435093,0.065051,-0.6032,1.512719,0.783783,-0.911065,-1.264428,N
-0.70011,1.533756,0.037466,-0.059132,-0.648197,0.341197,-0.150746,-1.502286,P
-1.487322,1.06094,1.364981,-1.085606,0.802004,1.089475,-1.466298,0.068123,N
0.227657,-0.455953,1.3171,0.592419,-1.287993,-1.533534,-1.422519,1.401476,P
-0.222565,-0.852759,0.83067,1.0749,1.416381,-0.483881,-0.748889,-1.054614,N
0.995058,-0.370326,-0.167276,-1.450893,1.265776,0.989056,-1.350419,-0.036942,N
1.243754,-0.578814,0.310476,-0.107612,-0.967612,0.902222,1.508764,1.156042,P
-0.381306,1.379126,-0.011747,0.918868,1.367594,-0.817502,-1.138552,-1.156318,N
0.231655,0.305682,0.485135,-0.659923,1.266466,1.569321,-0.197502,-0.347582,P
0.98414,1.096681,1.222937,-1.498934,1.195194,-1.240212,1.241457,1.547187,P
-0.036608,0.189703,-1.544758,-0.157269,0.283579,0.224902,-1.296739,0.608039,N
0.476933,-0.374704,-0.62319,-1.148904,0.319795,0.588386,-1.061603,-0.285321,N
-1.527339,1.2388,0.119619,-1.394477,-0.473703,-0.735373,-1.260718,-1.313968,P
-0.037612,1.182875,-0.184072,-0.697607,-0.738329,-0.386627,1.161322,1.534804,P
-0.683442,0.585391,0.764214,-0.260496,0.197805,-1.224017,-0.383952,-0.161121,N
-0.945936,-0.797537,1.316763,1.218981,0.704105,-0.898999,-0.24469,0.095963,P
1.258782,0.973644,1.463997,1.080565,-0.489438,-1.553498,-0.163939,1.212126,P
0.857486,-0.527826,0.444512,-0.494326,-1.287137,0.136899,-0.138341,-1.02698,P
1.281771,0.683158,0.198081,1.367269,0.097057,1.219405,-0.312372,-0.540734,P
0.820931,-0.691105,-0.943275,-1.066395,0.745484,-1.211546,-0.437691,0.509563,P
-0.491514,-0.929784,-1.142055,-0.107565,0.677909,1.347241,1.335892,0.239616,P
1.50905,-0.596074,0.615013,-1.436154,-0.932829,-1.518135,-0.623594,-0.302419,P
0.531313,0.327542,0.691206,-0.580188,-1.50849,0.720136,-0.390854,0.340546,P
1.367714,0.926863,-0.514992,0.291341,-0.537226,-1.224388,-0.005524,-0.418548,N
0.141569,-1.373648,-0.390904,-1.173982,-0.223094,-0.857733,1.407094,-0.503441,N
1.171504,0.660723,-0.84749,1.228315,1.527311,0.849191,-0.884398,-1.028414,N
1.099567,-0.761222,0.213235,0.87793,-0.436726,0.099404,-1.205838,0.49548,N
-1.56164,-1.284965,-0.723088,-0.684044,-1.286365,-0.639448,-0.104815,-0.826964,P
1.519157,-1.093779,-1.253331,1.502432,0.512786,0.19266,0.814408,-0.374784,N
0.739417,1.458737,-0.360157,-0.756079,1.008364,-0.948367,-0.164752,-0.094887,N
-0.765058,0.001319,0.693844,0.327946,-1.314727,1.238207,-1.240399,1.169548,N
0.207127,0.182863,-0.151675,1.43763,1.355211,0.632354,0.223283,-0.35549,P
0.295331,0.906249,-1.376632,0.265069,0.48366,-0.030448,-1.482861,0.587573,N
-0.091098,0.885989,0.769539,0.229159,1.565569,0.348303,-0.197482,1.308981,N
-1.136333,-0.33882,-0.300142,-0.118913,-1.465889,1.14636,-1.562258,-0.537703,P
-0.606438,1.151948,0.917338,-0.521427,-0.830859,-0.514916,0.563978,1.182302,P
-1.08258,-0.839715,-1.230019,1.426929,0.133719,0.898403,0.598218,0.38069,N
1.183504,-1.056798,-1.249702,-0.525643,1.175858,0.97003,1.158663,-1.165221,P
-1.413521,0.959679,0.95211,-0.317348,-1.119533,1.570042,-1.077451,0.827839,P
-0.319647,0.389418,-1.166839,0.757337,-0.990103,1.46226,-0.581437,-0.624955,P
-0.176658,1.008005,-1.245277,-1.164041,0.361981,-0.472974,1.28563,-1.279384,N
-0.292835,-1.07809,-0.077237,-1.331813,-1.444166,-1.045613,-0.292935,-1.540998,P
1.19221,1.242316,-0.651755,0.075649,-0.154822,0.460063,-0.480118,-0.26602,N
0.391264,0.571483,0.694956,-0.907561,-0.847862,0.816008,1.4148,-0.508228,P
0.621476,1.070005,-0.309157,-0.947846,0.249239,-1.549642,-0.168931,0.199164,P
-0.65224,1.095895,0.190492,0.573674,1.211232,-1.033492,0.76973,1.557598,N
-1.18215,-0.457073,0.318763,0.197599,-0.3469,-0.042721,-0.228425,-0.340499,N
-0.962749,-0.82795,1.033127,0.382532,0.4478,1.406543,-0.10829,1.21038,P
1.428315,-1.239718,0.188385,1.519499,-1.081835,-0.72479,-1.042913,1.051546,N
0.787067,-0.901871,-0.544967,0.218183,1.142722,1.553642,-1.294497,-1.26683,N
-1.012653,0.435063,-1.511198,0.761875,1.167502,-0.866186,-1.089117,-1.037409,N
1.497456,-1.516378,1.075146,-0.294144,-0.18862,0.148665,1.271229,0.100882,P
0.445515,-1.17101,-0.463767,1.182724,-0.266802,1.052491,-0.425657,-0.942814,P
1.348449,0.913802,-0.242943,1.177432,-1.094495,-1.090437,-0.611787,0.320658,N
-0.066602,-0.981584,0.922978,0.209646,-1.151017,1.075789,0.125095,1.463756,P
-0.966192,-0.982936,-0.6951,-1.34573,0.790299,0.925081,0.740731,-0.458968,N
0.108915,1.428173,1.03719,-1.365939,-0.10683,0.097769,-0.665705,-1.263914,N
-1.022114,1.541728,-0.642559,1.418554,1.500414,0.151193,-1.299673,0.841143,N
-0.442788,-0.033961,1.298395,0.082145,-0.11165,-0.444022,-0.117656,-0.077224,P
0.495784,0.980103,0.622806,1.443898,-0.971093,-1.389322,-1.388648,-0.431551,N
1.130818,1.215811,-0.283657,-1.217955,-0.582027,1.128992,-0.122369,0.859672,N
-0.985122,1.212079,1.516952,0.448472,0.78748,-0.258331,1.083217,0.323137,P
-0.76022,1.322583,1.383456,0.785015,-0.357459,-0.081957,0.100455,-0.844407,P
-0.153971,-1.253151,0.8186,-0.947721,-1.095655,-1.430133,1.313769,-1.367084,P
0.876869,-0.477663,1.176638,-0.474288,1.351209,0.083733,1.394162,1.028329,P
0.324575,-1.320812,-0.569926,-1.140097,-0.802511,-0.141182,-1.461814,1.230083,N
1.328956,-0.399867,-0.025842,-1.034985,-0.953177,-0.950325,-1.458343,-0.820157,P
-0.966802,-0.703308,-0.779348,0.003315,-1.064754,-0.252748,0.328363,0.93488,N
-0.7175,1.314914,-1.198261,-0.84043,-0.807086,-0.501933,-0.981425,1.419389,N
1.549128,-1.348921,-1.563108,-0.514632,0.705485,-0.817955,-1.442107,1.561322,P
-1.330565,1.56302,-1.155393,-0.620508,0.71944,0.236109,-0.11243,-0.579005,N
-0.943546,-0.328424,-0.497389,1.212588,-0.361629,0.454259,-1.507374,1.317687,N
0.574562,-0.049175,0.167452,0.449379,1.084495,0.662663,-0.62429,1.277261,N
-0.584616,-0.247843,-0.502384,0.318918,-0.408014,0.427015,0.477659,0.416422,P
1.253909,0.261074,1.033921,0.493359,0.605999,1.441333,1.245059,-0.658483,P
0.646291,-0.939706,0.957777,1.221156,-0.021527,-0.346254,-0.441845,0.713694,P
-1.415808,-0.857044,-0.157853,-0.057408,-0.528555,-1.257835,0.640483,0.449879,N
