S1_Temp,S2_Temp,S1_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2_Slope,S6_PIR,S7_PIR,target
25.63,27.38,157,60,0.2,0.05,0.06,0.06,1.0,0,0,1
25.63,27.44,157,60,0.74,0.15,0.12,0.13,0.953846153846,1,0,1
25.63,27.56,156,60,0.63,0.28,0.2,0.14,0.923076923077,1,0,1
25.63,27.5,156,60,0.43,0.42,0.17,0.18,0.957692307692,1,0,1
25.69,27.56,157,60,0.79,0.56,0.2,0.16,1.01153846154,0,0,1
25.63,27.5,157,61,0.69,0.53,0.2,0.36,1.13076923077,1,1,1
25.63,27.56,156,60,1.55,0.77,0.47,0.19,1.31538461538,1,1,1
25.63,27.63,156,60,0.54,0.8,0.3,0.14,1.41923076923,1,0,1
25.63,27.63,157,60,0.63,0.57,0.18,0.15,1.53846153846,1,0,1
25.63,27.81,157,59,0.96,0.64,0.19,0.22,1.62692307692,1,1,1
25.63,28.0,156,59,1.05,1.01,0.31,0.21,1.73846153846,0,1,1
25.69,28.19,156,59,0.49,0.79,0.24,0.19,1.83076923077,0,0,1
25.69,28.13,156,59,0.73,0.79,0.28,0.19,1.9,0,1,1
25.69,28.06,156,59,0.81,0.42,0.28,0.21,2.04230769231,1,0,1
25.69,27.88,156,60,0.88,0.66,0.29,0.21,2.01923076923,1,1,1
25.69,27.81,156,60,0.71,0.4,0.22,0.16,2.06538461538,1,1,1
25.69,27.75,155,59,0.72,0.66,0.24,0.21,2.03076923077,1,1,1
25.69,27.94,155,60,0.52,0.7,0.69,0.2,1.96153846154,1,1,1
25.63,28.0,156,60,0.71,0.69,0.25,0.17,1.81153846154,1,1,1
25.69,28.19,156,61,0.75,0.55,0.61,0.17,1.67692307692,1,0,1
25.69,28.13,157,61,0.21,0.27,0.13,0.14,1.55769230769,1,0,1
25.69,28.13,156,62,0.62,0.12,0.24,0.07,1.40769230769,1,0,1
25.69,28.19,155,59,0.83,0.17,0.06,0.12,1.22692307692,1,0,1
25.69,28.19,155,59,0.19,0.4,0.21,0.12,1.11153846154,1,0,1
25.69,28.13,155,60,0.18,0.06,0.07,0.07,1.11153846154,0,0,1
25.69,28.0,156,61,0.5,0.26,0.24,0.15,1.08076923077,1,0,1
25.69,28.13,156,63,1.53,0.37,0.18,0.08,1.01923076923,1,0,1
25.69,28.13,157,63,0.8,0.37,0.14,0.18,1.02692307692,0,0,1
25.69,28.31,156,63,0.62,0.7,0.24,0.16,0.915384615385,0,0,1
25.69,28.31,157,62,0.33,0.41,0.2,0.1,0.834615384615,1,0,1
25.69,28.38,157,62,2.36,0.63,0.46,0.37,0.834615384615,1,0,1
25.69,28.5,156,61,0.25,0.23,0.24,0.06,0.869230769231,0,0,1
25.69,28.5,156,61,0.64,0.17,0.12,0.08,0.846153846154,0,0,1
25.69,28.5,156,60,0.08,0.05,0.06,0.06,0.861538461538,0,0,1
25.69,28.44,155,60,0.08,0.07,0.05,0.06,0.819230769231,0,0,1
25.75,28.38,155,60,0.13,0.1,0.06,0.07,0.765384615385,0,0,1
25.69,28.25,156,62,0.09,0.11,0.09,0.06,0.696153846154,0,0,1
25.69,28.44,156,62,0.5,0.13,0.11,0.07,0.615384615385,1,0,1
25.69,28.38,156,61,0.8,0.21,0.16,0.14,0.526923076923,1,0,1
25.69,28.38,155,60,0.57,0.15,0.77,0.19,0.426923076923,1,0,1
25.69,28.44,156,64,1.12,0.49,0.77,0.25,0.411538461538,1,1,1
25.75,28.56,158,65,0.91,0.29,2.83,0.29,0.434615384615,1,1,1
25.75,28.56,159,66,0.55,0.23,1.01,0.48,0.4,1,1,1
25.75,28.63,159,63,0.58,0.5,3.64,0.62,0.4,1,1,1
25.75,28.56,159,65,0.83,0.36,2.15,0.85,0.430769230769,1,1,1
25.75,28.44,159,64,2.62,0.82,2.15,0.43,0.492307692308,1,1,1
25.75,28.31,158,65,0.7,0.35,0.5,0.47,0.534615384615,1,1,1
25.75,28.5,158,65,0.72,0.49,0.93,0.45,0.511538461538,1,1,1
25.81,28.69,159,65,2.88,0.57,0.93,0.2,0.569230769231,1,1,1
25.75,28.69,159,65,0.62,0.74,0.19,0.13,0.707692307692,1,0,1
25.75,28.63,160,65,0.36,0.4,0.19,0.22,0.880769230769,1,1,1
25.81,28.81,160,67,0.79,0.46,3.63,0.43,1.03846153846,1,1,1
25.81,28.75,160,68,0.51,0.92,1.32,0.26,1.31923076923,1,1,1
25.81,28.88,160,67,0.95,0.84,1.61,0.36,1.43076923077,1,1,1
25.81,28.81,160,67,1.01,0.79,0.96,0.65,1.51538461538,1,1,1
25.81,28.81,160,66,2.04,0.62,3.64,3.4,1.62307692308,1,1,1
25.81,28.94,160,65,0.95,3.44,3.65,1.03,1.70769230769,1,1,1
25.81,28.94,160,66,0.96,0.91,0.25,0.28,1.81153846154,1,1,1
25.81,28.94,159,66,0.58,0.56,3.65,0.27,1.97692307692,1,1,1
25.81,29.0,159,67,3.47,3.34,1.72,3.4,2.05769230769,1,1,1
25.81,28.94,160,67,0.45,0.65,1.86,0.5,2.19615384615,1,1,1
25.81,28.94,160,67,0.83,0.54,1.41,0.47,2.29615384615,1,1,1
25.81,29.0,160,66,0.57,0.63,0.58,0.23,2.35384615385,1,0,1
25.81,28.94,159,66,1.62,0.53,0.88,0.33,2.31923076923,1,1,1
25.81,28.81,160,66,0.71,0.37,0.88,0.21,2.29230769231,1,1,1
25.94,28.19,163,70,0.68,0.52,2.41,0.31,3.28846153846,1,1,1
25.94,28.13,164,70,0.89,0.83,2.56,0.47,4.20769230769,1,1,1
25.94,28.13,163,70,0.63,0.29,1.01,0.18,4.95384615385,1,1,1
25.94,28.06,163,70,0.53,0.31,0.25,3.4,5.71923076923,1,1,1
25.94,28.13,163,70,2.25,3.4,3.66,0.31,6.36153846154,1,1,1
25.94,28.25,163,70,0.41,0.26,0.8,0.28,6.93076923077,1,1,1
25.94,28.25,162,70,0.35,0.3,0.89,1.35,7.38076923077,1,1,1
25.94,28.38,162,70,1.56,1.35,3.66,0.31,7.70769230769,0,1,1
25.94,28.19,162,70,0.79,0.81,1.36,1.84,8.09615384615,1,0,1
25.94,28.19,162,70,3.3,2.98,3.66,2.43,8.44615384615,1,1,1
25.94,28.25,162,70,1.31,2.02,3.66,0.6,8.66153846154,1,1,1
25.94,28.38,161,70,0.52,0.42,1.03,0.33,8.83846153846,1,1,1
25.94,28.25,162,70,0.41,0.22,0.71,0.26,8.98076923077,1,1,1
25.94,28.19,163,69,1.04,0.35,0.8,0.1,8.94615384615,1,1,1
25.94,28.13,162,70,0.33,2.11,1.05,0.43,8.78076923077,1,0,1
25.94,28.25,162,69,0.45,2.22,1.13,0.32,8.43846153846,1,1,1
25.94,28.0,163,70,0.39,0.54,1.31,0.3,7.96923076923,1,1,1
25.94,28.0,163,70,0.08,0.28,0.14,0.07,7.51923076923,0,0,1
26.0,27.94,164,70,0.2,0.29,0.23,0.12,7.04230769231,1,1,1
25.94,28.0,163,70,1.74,0.65,2.0,0.43,6.48846153846,1,1,1
26.0,28.0,164,70,0.61,0.45,3.65,0.87,5.81153846154,1,1,1
25.94,27.94,163,69,0.99,0.9,3.01,0.81,5.01538461538,1,1,1
26.0,27.81,163,69,0.69,1.08,2.23,0.55,4.10384615385,0,1,1
25.94,27.81,163,68,0.55,0.82,2.23,0.28,3.03076923077,1,1,1
25.94,27.75,163,70,0.5,0.69,2.49,0.38,1.88846153846,1,1,1
25.94,27.81,164,69,0.78,0.62,3.19,0.92,1.82307692308,1,1,1
26.0,27.75,163,70,1.24,0.84,3.65,0.28,1.72307692308,1,1,1
25.94,27.75,164,70,0.35,2.33,0.88,0.29,1.63461538462,1,1,1
26.0,27.88,164,70,3.46,0.21,0.83,0.25,1.51153846154,0,1,1
26.0,27.81,164,71,0.3,0.23,0.83,0.18,1.40384615385,1,1,1
26.0,27.81,165,72,0.76,0.14,0.39,0.14,1.26153846154,1,1,1
26.0,27.88,164,71,1.24,0.17,0.61,0.23,1.08461538462,1,1,1
26.0,27.88,165,70,2.42,0.34,0.7,0.17,0.923076923077,1,1,1
26.0,27.88,164,70,0.15,0.14,0.07,0.07,0.880769230769,0,1,1
26.0,27.94,164,70,0.18,0.45,0.06,0.06,0.915384615385,0,0,1
26.0,27.81,163,70,0.17,0.06,0.06,0.06,0.930769230769,1,0,1
26.0,27.81,164,70,0.07,0.1,0.19,0.06,0.976923076923,1,0,1
26.0,27.75,163,69,0.06,0.06,0.14,0.09,1.1,0,0,1
26.0,27.69,163,70,0.08,0.13,0.13,0.07,1.24615384615,0,0,1
26.0,27.75,164,70,0.07,0.05,0.07,0.09,1.31923076923,0,1,1
26.0,27.75,162,69,0.56,2.61,2.24,0.75,1.36538461538,1,1,1
26.0,27.63,163,70,0.96,0.75,2.69,0.43,1.42692307692,1,1,1
26.0,27.63,164,70,1.52,0.47,1.41,0.29,1.50384615385,1,1,1
26.0,27.63,165,71,0.48,0.4,1.2,0.33,1.50769230769,1,1,1
26.06,27.56,165,73,0.71,0.37,1.21,0.44,1.49615384615,0,1,1
26.06,27.56,165,73,0.51,0.5,1.32,0.42,1.46923076923,1,1,1
26.0,27.5,165,72,0.92,0.43,0.42,0.29,1.37692307692,1,1,1
26.0,27.5,165,70,0.29,0.44,0.92,0.74,1.21923076923,0,1,1
26.0,27.38,165,70,1.22,3.44,3.11,0.14,1.04230769231,1,1,1
26.06,27.44,165,71,0.78,0.11,1.93,0.54,0.85,1,0,1
26.06,27.5,165,71,0.81,0.59,3.65,0.58,0.742307692308,1,1,1
26.06,27.44,165,72,0.63,0.51,1.59,0.48,0.623076923077,0,1,1
26.0,27.38,165,73,0.71,0.39,1.05,0.26,0.496153846154,0,1,1
26.06,27.38,165,72,0.61,0.3,3.0,0.45,0.269230769231,1,1,1
26.06,27.38,165,72,0.66,0.68,2.9,0.5,-0.0961538461538,1,1,1
26.06,27.31,165,71,0.55,0.4,0.27,0.22,-0.4,1,1,1
26.06,27.31,165,71,0.45,0.38,3.65,0.52,-0.646153846154,0,1,1
26.06,27.25,165,73,0.56,0.63,2.27,0.58,-0.792307692308,0,1,1
26.06,27.31,164,72,0.79,0.79,2.37,0.79,-0.892307692308,1,1,1
26.06,27.19,165,72,1.48,0.88,2.68,0.83,-0.9,1,1,1
26.06,27.19,165,72,1.09,1.45,2.84,0.47,-0.911538461538,1,1,1
26.06,27.25,165,72,0.39,1.43,1.63,0.55,-0.788461538462,1,1,1
26.06,27.25,165,72,3.63,1.66,3.65,0.54,-0.534615384615,1,1,1
26.06,27.31,164,72,0.99,0.22,0.3,0.18,-0.196153846154,1,1,1
26.06,27.38,165,72,1.08,0.43,0.7,0.1,0.0807692307692,1,1,1
26.06,27.38,165,72,0.12,0.39,0.47,0.11,0.346153846154,0,1,1
26.06,27.38,165,71,0.17,1.6,0.52,0.57,0.653846153846,1,1,1
26.06,27.31,165,71,0.97,1.21,3.12,0.68,0.865384615385,1,1,1
26.06,27.31,165,70,0.1,0.75,1.12,0.1,0.980769230769,1,1,1
26.06,27.25,165,70,0.09,0.21,0.52,0.1,1.04230769231,0,1,1
26.06,27.25,164,71,0.19,0.16,0.77,0.06,1.1,0,1,1
26.06,27.13,165,72,0.09,0.07,0.51,0.08,1.10769230769,0,1,1
26.13,27.06,164,71,0.12,0.07,0.46,0.08,1.11153846154,0,0,1
26.06,27.06,165,72,0.09,0.12,0.7,0.1,1.15769230769,0,0,1
26.06,27.0,165,72,0.65,0.15,0.2,0.17,1.14615384615,1,1,1
26.06,27.06,165,71,0.1,0.1,0.87,0.09,1.26538461538,1,1,1
26.06,26.94,164,71,0.1,0.18,0.4,0.1,1.46153846154,1,1,1
26.13,27.13,164,70,0.16,0.12,0.58,0.11,1.63076923077,1,1,1
26.06,27.13,164,71,0.1,0.1,0.71,0.12,1.76538461538,0,1,1
26.06,27.06,164,70,0.3,0.26,0.64,0.08,1.66153846154,1,1,1
26.06,27.0,165,70,0.83,0.27,0.62,0.14,1.55384615385,1,1,1
26.06,27.0,164,70,1.2,0.28,0.22,0.11,1.44615384615,1,1,1
26.13,27.06,165,71,1.13,1.4,1.51,1.36,1.39230769231,1,1,1
26.06,27.13,165,71,0.55,0.14,0.85,0.25,1.35,1,1,1
26.06,27.06,165,70,0.42,0.33,1.04,0.09,1.32307692308,1,1,1
26.13,27.19,164,70,0.11,0.06,0.21,0.08,1.26538461538,0,0,1
26.06,27.19,165,71,0.41,0.11,1.16,0.14,1.37307692308,0,1,1
26.13,27.19,165,73,0.08,0.23,0.15,0.11,1.46153846154,0,1,1
26.13,27.13,165,73,0.09,0.32,0.13,0.07,1.63076923077,1,0,1
26.13,27.13,165,72,0.38,0.22,0.07,0.12,1.83076923077,1,1,1
26.06,27.25,163,72,0.91,0.23,1.37,0.34,2.00769230769,1,1,1
26.13,27.19,165,73,0.88,0.76,2.6,0.66,2.15769230769,1,1,1
26.13,27.19,165,72,0.75,0.5,1.69,0.1,2.22692307692,1,0,1
26.13,27.19,165,72,0.82,0.19,0.09,0.06,2.30384615385,1,0,1
26.13,27.19,165,73,0.48,0.1,0.08,0.07,2.33846153846,1,0,1
26.13,27.06,165,73,0.53,0.09,0.16,0.09,2.28076923077,0,0,1
26.13,27.19,165,72,0.43,0.09,0.53,0.09,2.17692307692,1,0,1
26.13,27.19,165,71,0.13,0.12,0.48,0.11,2.02692307692,1,0,1
26.13,27.19,165,72,0.38,0.1,0.11,0.07,1.88076923077,0,0,1
26.13,27.19,165,72,0.1,0.05,0.07,0.07,1.69230769231,0,0,1
26.13,27.06,165,73,0.11,0.07,0.13,0.12,1.51538461538,0,0,1
26.13,27.06,165,74,0.34,0.12,0.77,0.1,1.36153846154,1,0,1
26.13,27.06,165,73,0.14,0.15,0.19,0.1,1.23846153846,1,0,1
26.19,27.13,165,73,0.1,0.07,0.13,0.07,1.19615384615,1,0,1
26.13,27.13,165,73,0.3,0.07,0.11,0.19,1.23076923077,1,1,1
26.19,27.06,165,73,0.08,0.07,0.22,0.08,1.24230769231,1,1,1
26.13,27.13,165,72,0.09,0.1,0.15,0.09,1.27692307692,0,1,1
26.13,27.19,165,72,0.36,0.12,0.21,0.14,1.28461538462,0,0,1
26.19,27.13,165,73,0.08,0.1,0.27,0.07,1.35769230769,0,0,1
26.13,27.06,165,74,0.22,0.09,0.14,0.11,1.44230769231,0,0,1
26.19,27.19,165,73,0.09,0.43,0.18,0.07,1.53461538462,0,1,1
26.19,27.31,165,73,0.83,0.36,0.21,0.17,1.58846153846,1,1,1
26.19,27.25,164,74,1.52,0.36,1.11,0.41,1.60384615385,1,1,1
26.19,27.19,163,74,0.61,0.41,3.67,0.4,1.67307692308,1,1,1
26.19,27.25,164,73,0.72,0.59,1.7,0.1,1.70384615385,1,1,1
26.19,27.25,163,74,0.12,0.35,0.2,0.11,1.79615384615,1,1,1
26.19,27.19,163,74,0.09,0.13,0.17,0.07,1.9,0,1,1
26.19,27.25,164,74,0.09,0.08,0.06,0.07,1.96923076923,0,0,1
26.19,27.25,163,74,0.17,0.08,0.13,0.08,2.01153846154,1,0,1
26.19,27.19,164,74,1.25,0.51,0.12,0.23,1.98461538462,1,0,1
26.19,27.25,163,74,0.16,0.14,0.33,0.14,1.89230769231,0,0,1
26.19,27.31,164,73,0.1,0.14,0.3,0.15,1.83076923077,1,1,1
