n_features,Combination,score,accuracy,accuracy_top_20pc,XGB_params,SVM_params,split_size
4,"('SVC',)",6450.0,0.649,0.725,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6500.0,0.645,0.73,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5550.0,0.58,0.635,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6600.0,0.653,0.74,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6700.0,0.655,0.75,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5950.0,0.562,0.675,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6850.0,0.676,0.765,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6850.0,0.677,0.765,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6450.0,0.642,0.725,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7050.0,0.67,0.785,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7100.0,0.669,0.79,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6000.0,0.612,0.68,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6600.0,0.645,0.74,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6650.0,0.649,0.745,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5750.0,0.616,0.655,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6850.0,0.643,0.765,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6750.0,0.642,0.755,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6550.0,0.62,0.735,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7000.0,0.655,0.78,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6950.0,0.655,0.775,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5950.0,0.597,0.675,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6450.0,0.649,0.725,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6350.0,0.643,0.715,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6600.0,0.641,0.74,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6700.0,0.673,0.75,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6700.0,0.671,0.75,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6050.0,0.581,0.685,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6900.0,0.663,0.77,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6900.0,0.661,0.77,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6500.0,0.609,0.73,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6900.0,0.662,0.77,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6800.0,0.661,0.76,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6500.0,0.614,0.73,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7000.0,0.678,0.78,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6950.0,0.679,0.775,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6400.0,0.642,0.72,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7200.0,0.656,0.8,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7150.0,0.655,0.795,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6550.0,0.636,0.735,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7100.0,0.658,0.79,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7100.0,0.66,0.79,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5800.0,0.599,0.66,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6400.0,0.637,0.72,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6400.0,0.638,0.72,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6100.0,0.597,0.69,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6600.0,0.643,0.74,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6600.0,0.647,0.74,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6450.0,0.604,0.725,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6950.0,0.67,0.775,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7100.0,0.669,0.79,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6700.0,0.633,0.75,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6850.0,0.675,0.765,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6750.0,0.673,0.755,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5950.0,0.641,0.675,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7300.0,0.664,0.81,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7300.0,0.662,0.81,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6050.0,0.59,0.685,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6500.0,0.632,0.73,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6450.0,0.634,0.725,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6300.0,0.66,0.71,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",7150.0,0.694,0.795,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7200.0,0.699,0.8,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5700.0,0.627,0.65,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6500.0,0.632,0.73,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6550.0,0.636,0.735,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",6400.0,0.62,0.72,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6750.0,0.654,0.755,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6750.0,0.657,0.755,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5750.0,0.618,0.655,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6950.0,0.667,0.775,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",7050.0,0.667,0.785,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5750.0,0.622,0.655,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('SVC',)",6050.0,0.631,0.685,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier', 'SVC')",6000.0,0.624,0.68,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
4,"('XGBClassifier',)",5600.0,0.632,0.64,"{'n_estimators': 150, 'learning_rate': 0.001, 'min_child_weight': 2, 'subsample': 0.5, 'lambda': 0.1, 'max_depth': 2, 'tree_method': 'approx'}","{'kernel': 'poly', 'degree': 4, 'gamma': 'auto', 'coef0': 0.2, 'probability': True}",0.2
