@relation fri_c0_1000_25

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute binaryClass {P,N}

@data
-0.341987,-0.722999,-0.686995,-0.394277,-0.930564,0.487777,1.387229,-1.206832,0.571121,-0.255146,-0.113858,-0.188941,-0.982278,1.398953,1.256406,-0.18106,-0.740398,-0.889404,-0.663773,0.687043,-1.404598,-1.026097,-0.420046,-0.253936,1.223539,P
0.045658,0.731052,-0.876868,0.964099,-1.567488,-0.060699,1.513929,-0.918073,-0.048244,-0.927924,-1.496172,0.22761,0.892538,0.118616,-0.372627,0.456608,0.444899,1.249421,0.478226,1.046142,0.546908,1.387153,-0.061713,0.738509,-1.557854,N
-0.833545,1.609071,-0.466216,-0.404508,-1.149012,-0.151909,0.617154,0.620316,-0.233999,-0.907843,-1.298489,-1.456503,-0.181786,-1.098715,-0.515432,-0.729999,1.076029,1.188178,0.322123,1.570211,-1.135507,1.033602,1.664124,0.019076,0.377501,P
0.699377,-1.62443,0.642585,-1.372211,-0.595998,1.346324,0.549546,1.11609,1.461262,1.335461,1.387677,1.528108,-1.089597,-1.56755,1.670997,-0.090168,0.245381,1.182398,0.555446,0.495107,0.781755,0.050877,-0.124011,-0.958,-0.337828,P
-1.206112,1.458895,-0.807625,1.165178,1.147678,-0.541156,-0.298329,0.159184,-0.496569,-1.677703,1.356264,0.62887,0.41728,0.768599,0.425615,0.224351,1.034035,-1.079849,0.326718,-0.311336,0.696933,-1.657631,0.568391,-0.30797,1.35764,N
-1.508961,-1.105506,0.695681,0.324889,1.297093,0.864613,0.073787,-1.712483,-1.141894,-0.761813,-0.110257,0.705454,0.02686,-0.119207,-0.07867,0.736954,-1.232952,1.345216,-1.362646,1.401203,0.147212,-1.004887,-0.504378,-1.120383,-1.036786,P
0.508043,-0.319487,0.439847,0.114097,1.285731,-1.111856,-0.482669,-1.327011,-1.209768,-0.600248,0.341248,1.594422,-1.477264,-1.36692,1.26447,0.38718,-1.455541,0.890512,-0.774643,-0.658627,0.638673,0.064793,1.513474,-1.483072,1.334321,N
-0.814183,0.835244,-1.154169,-1.53584,-0.020165,-1.66399,0.592143,0.157303,-1.333054,-0.123926,-1.022234,-1.6069,-0.824561,-1.405545,-1.511678,-0.189381,0.171772,0.70469,-0.69933,1.180684,0.082298,-0.168073,1.300497,-1.680716,-0.846137,P
0.332342,0.787452,1.317231,-0.84594,1.411037,-0.275657,-1.7347,-0.232543,1.490346,1.461914,0.943903,0.973107,1.321209,0.043598,1.035436,-0.160392,0.054909,-1.217138,-1.049779,-1.264048,-0.139464,0.031696,-1.262717,-0.612159,1.099464,N
-1.097007,-0.574423,-0.162536,-1.609423,-1.401981,0.903915,0.64279,0.953107,-0.547903,-0.154838,-0.335553,-1.06694,-0.715265,0.857526,-0.240104,1.288439,0.650494,1.488645,1.128422,1.418294,0.99926,-0.069709,-1.507878,-1.449301,1.058849,P
-1.387861,0.163281,1.083615,1.106229,1.242374,-0.847205,-0.859089,1.149019,-0.206568,-1.791169,1.759728,0.920524,-0.909996,1.519874,-1.339491,0.917239,-0.585863,0.746067,-0.910934,-1.006057,-1.191566,-0.573028,-1.392231,0.819825,1.750006,N
-0.418264,0.019653,1.070471,0.35423,-0.084796,1.689078,-0.175432,1.010729,0.462913,0.864153,-1.506479,1.394328,0.051327,-1.450728,0.666381,1.570998,-0.795728,0.988084,1.063168,0.98869,-1.327031,-0.203342,-1.143377,1.579149,1.112432,N
0.252842,1.429936,0.399261,-1.546371,-0.956973,1.251011,0.453172,-1.54695,1.330203,-0.125932,0.49113,0.84285,0.457016,0.869883,-1.272495,-0.589112,-1.200523,0.03456,-0.71526,1.035622,-0.419686,1.366761,-1.175772,-0.693063,-1.205556,P
0.450274,-0.99958,-0.402665,-1.139897,0.80606,-0.174652,0.707469,-0.999959,-1.426245,1.592388,-1.521057,0.661166,-0.026253,1.415494,-1.192304,0.276367,0.318455,1.698714,0.146465,-1.55398,-0.057179,1.332734,-0.460353,-0.168027,-1.496634,P
0.369298,-0.901895,-0.601332,0.234015,-0.939982,-0.686119,1.356205,-1.695092,-0.043256,0.993213,-0.177397,-0.814511,-1.326318,-1.370281,0.353748,0.654275,-1.073094,-1.552025,1.644608,0.008074,-0.462938,0.806429,0.190398,1.567131,-0.851235,P
0.744615,-1.379528,1.047692,-0.305723,0.720974,0.079409,0.866271,0.224007,1.10799,-0.848705,-0.33493,1.553647,0.015873,-0.933405,0.656181,-0.447447,0.926144,-0.123657,1.186117,-1.191397,-1.055218,0.955605,-0.067365,0.746551,-1.368709,P
0.685817,1.672153,1.35397,-1.510786,-0.594247,-1.547191,1.512594,-0.702129,0.349293,-1.369672,0.165046,0.844594,-0.233426,-1.110006,-1.097763,-0.677378,0.770531,-1.007916,-1.456856,-1.181865,0.831402,1.295562,-0.058749,-1.665302,0.208507,N
-0.956647,0.961117,1.16294,-1.30263,-1.144595,-0.038797,-1.028827,1.706921,-0.515963,1.188804,-0.569766,1.698879,1.695497,-0.204491,-1.215547,-0.17211,-1.639604,1.628922,0.733101,0.432161,-0.687253,0.6371,-0.951237,1.277006,0.51451,P
-1.581655,0.132054,1.292171,1.602435,0.910885,-1.123128,-1.553888,0.668342,1.699875,-1.059445,-0.029239,0.176705,0.07279,1.494886,1.064829,-1.154243,-1.237015,1.353284,0.930303,1.698562,1.025995,-1.243144,-1.049231,1.438277,1.663611,N
1.646296,0.252158,1.535924,-0.769703,-1.594158,0.414394,0.956354,0.270637,0.870506,-0.284038,1.513636,-1.231891,-1.183015,-0.581967,-0.401225,0.334171,-1.282807,-1.613627,0.721246,0.293462,1.466682,0.959593,-0.673507,-0.207827,0.883337,N
-1.342879,-0.942885,0.66403,1.040803,0.453165,-1.051286,0.75122,-0.689593,-0.56211,-0.744234,-0.353269,1.692105,1.184246,1.702932,-0.31446,-1.205109,0.297414,-0.09225,0.073896,-1.394666,-0.414098,-0.820179,0.892316,0.767987,1.539912,P
0.61359,-1.530512,0.400849,-1.218504,1.697503,1.107475,0.977133,1.321965,-1.199805,0.448513,-0.80128,1.135654,1.614037,0.945176,0.774666,1.241121,0.554166,0.231097,-0.679635,0.17904,-0.974968,-1.194775,-0.814385,1.21112,0.470487,P
-0.699674,1.040854,1.543096,0.655796,0.443457,-1.408012,-0.471037,-1.295351,-1.515623,-0.239301,-0.781757,-1.174242,0.763376,1.176551,0.577018,1.047289,0.837748,0.073432,-0.99488,-0.097506,-0.307068,0.234331,-0.647548,1.47866,0.124189,N
0.677532,-0.784545,-0.153391,-1.492393,-1.704185,1.377076,-1.007001,-0.624317,-1.301826,0.447045,-0.25822,-0.7931,-0.200947,-0.799406,-0.523759,0.450355,-1.214065,0.707579,-1.244405,0.040686,1.64522,-0.63819,-1.490548,1.040035,-1.294516,P
-1.146704,-0.465773,0.752573,-1.465829,0.071633,1.376819,1.590425,-1.02695,-1.042772,-1.348623,0.332969,-0.325197,0.754254,1.241348,-0.242805,0.375386,-1.663251,-0.620586,0.632996,-0.289976,0.534258,-0.655512,0.465388,-0.932898,-1.681198,P
1.096749,-0.623824,-0.538137,0.128763,0.411436,0.71988,-0.514055,0.277203,-0.303431,0.279312,-1.533962,-1.081017,1.506369,1.285265,-0.604256,1.129601,0.283362,0.978131,-0.965916,-0.410061,0.374106,-1.192547,-1.291974,-1.078707,-0.508305,N
1.70803,-0.033313,-1.406505,1.610037,-1.367259,-0.794481,0.004068,1.438835,-1.303291,-0.868611,0.765071,-0.999041,-1.12893,0.582833,-1.333268,1.067792,0.828574,-0.291476,-0.810308,-1.3871,0.532795,0.060198,0.983282,-0.424804,-1.38331,N
-0.591489,0.517788,-1.202822,1.474675,0.37539,-1.671291,0.2042,0.530069,-1.486834,-1.375021,0.885781,1.237467,-1.500963,-0.453395,0.681124,-1.550322,-0.626695,-0.463739,0.371464,0.87768,-1.471519,1.331988,-1.700264,-0.73748,-1.225673,N
1.303028,-1.159021,1.348465,1.02429,-0.441917,1.280676,0.48438,-0.131754,-0.462045,1.464008,0.738954,0.864722,1.154126,-0.448055,1.668651,0.862995,0.40823,-0.160195,-0.757658,-0.320848,-0.86318,-0.491543,-1.391332,-0.452127,1.156919,N
0.532556,-1.711027,-1.016219,0.791236,1.700887,0.102234,0.907997,-1.65223,-1.555987,-1.062196,-0.913873,0.50944,-0.170314,-0.555044,1.048494,-1.521893,-0.941468,0.850669,-1.177443,0.153205,-1.281107,-1.760088,-0.223954,-1.472939,0.329935,N
-0.394823,0.591723,-0.91052,1.432758,-1.379721,-0.111972,-0.33596,-0.91182,-1.360557,-0.636237,1.092871,1.172284,-0.484225,-0.86854,1.368687,1.333491,-0.200925,-0.970687,-1.213919,-1.259619,1.320863,1.054656,1.434585,-0.448056,-0.040149,N
-0.324838,1.246284,-0.241817,-0.363919,-0.839934,-0.219575,1.558498,-1.546414,-0.201371,-0.112216,0.937934,-0.275289,-0.886753,1.030741,0.16092,0.805064,-1.233962,1.729615,0.697329,-0.567193,-1.355352,-0.387747,-0.637251,-1.03392,1.670402,P
-1.409899,0.153857,-1.62337,1.345382,1.0069,-0.334297,1.616146,-0.447526,-0.265392,1.041609,0.309214,1.450646,-1.443983,-0.415174,-0.963755,-0.084917,1.328863,1.481495,1.360305,-0.534832,1.355465,-1.47154,-0.770704,1.691157,1.382573,N
-1.094778,0.128781,-1.222895,0.140513,0.12287,0.291928,-1.566971,0.349908,1.203632,-1.612137,0.256171,1.423585,0.222494,0.778073,0.616982,0.735217,0.056545,0.374337,0.526695,-0.683372,1.089291,1.028614,0.166742,0.871853,0.10467,P
1.663611,1.462649,-0.069608,0.409711,-1.205028,-1.640254,-0.747461,1.768169,0.570776,0.639719,-1.491486,-1.45888,-1.232817,0.980875,0.950739,-0.335823,-0.040029,-0.872801,1.458192,1.039487,-0.006524,-0.302156,0.21525,1.439426,-0.380315,P
-0.883801,1.058929,1.508874,1.312804,-1.53215,0.349074,-1.205714,-1.770748,-0.944698,-0.211465,-0.651827,0.293838,0.990041,0.842427,1.503799,-1.078165,-0.377359,-0.586203,-1.665678,-0.007907,-0.359974,0.230012,1.336286,-0.471208,-0.137745,N
0.332445,0.754537,-0.557814,-1.567682,0.703661,-0.69339,0.010629,-0.135059,1.533497,1.434819,-0.215856,-1.223638,-0.678051,1.110545,-1.676272,0.289086,-1.608607,1.004833,1.260294,1.41405,-1.078317,-1.7732,-0.2912,-1.401558,-0.122707,N
-0.153063,1.072406,1.154497,0.523354,-0.459741,0.9381,0.598768,0.606596,-1.681516,0.910645,-0.06806,0.886889,1.355746,-1.695039,-1.329059,-1.716877,1.596522,-0.20066,-1.519942,-0.932708,0.406079,0.833488,1.69467,-0.073954,1.218325,N
-1.256048,1.037124,-0.339274,0.096409,0.428816,0.791135,-0.198226,0.913354,-0.274722,1.527045,0.930016,-0.145514,1.564665,0.513837,-0.125009,-1.055239,-0.549001,0.340968,0.402983,-0.855918,0.669884,-1.02291,1.107487,1.624426,-0.553251,P
1.322395,0.250989,-0.501119,0.533918,-0.442931,-0.891248,-0.632249,-0.110277,0.21876,0.736315,-1.146794,0.286233,-1.088501,1.483359,0.214215,0.811557,-1.267837,-0.608154,-0.127158,-1.453813,0.18775,0.349526,0.455525,1.333908,-1.590356,N
-1.581899,1.514532,-0.004349,-0.297133,1.427761,-0.358919,-1.567358,-1.540976,-1.026601,-1.666203,0.962667,1.553611,-0.595294,0.882975,1.288658,0.455897,0.684226,0.642267,1.476018,-0.041617,0.439164,0.490948,0.719171,-1.353773,1.466293,P
-0.86464,0.1065,0.370205,0.253066,1.408268,1.665347,0.951416,-1.655009,1.316616,0.275613,0.630312,-0.097338,-0.140994,-1.00999,-1.174693,-0.701604,0.87759,1.489094,-1.080175,1.515762,0.589803,-0.037599,1.221629,1.542092,0.123423,P
1.654759,0.090191,1.524074,-1.155689,-0.168782,0.786983,1.555849,0.400212,-1.419967,0.512736,-0.660576,-1.652937,-1.627751,-0.702905,-1.368976,-0.547395,0.425788,1.680728,-1.159683,0.229677,0.075747,1.287154,-0.621492,-0.392905,-0.224456,N
1.378406,-1.736043,0.699902,-0.776431,1.518137,-0.381768,0.876019,1.419895,0.743643,-1.051946,1.726188,1.048323,0.999806,-0.368092,-0.085709,-0.406032,-0.655336,0.825314,0.925871,-1.24858,-0.068498,0.776341,1.362883,-1.112698,-0.905899,P
0.121734,-0.492897,-0.024795,1.280516,0.745166,-1.435949,0.98445,0.572211,1.267078,-0.387482,0.84372,0.185062,-1.190852,-1.746047,1.36547,-1.696029,0.822077,-1.302315,1.270649,0.25211,-0.735919,1.570536,-0.116799,1.319014,1.487653,N
-1.1207,0.855526,0.593638,0.858974,-0.176087,-0.248331,-1.732234,0.217241,-0.864921,0.286241,-0.77401,-0.177246,-1.126532,-1.234897,-0.300176,1.432501,-0.856729,1.197145,0.594833,-0.203901,0.909862,-0.442933,-0.192595,-0.684136,-1.381362,N
-0.278871,-1.097552,0.428541,-0.236251,-1.116413,-1.237664,-0.60153,1.231146,1.174481,1.323822,-0.797255,0.250732,0.254978,-0.550334,-0.617566,0.686792,-0.964967,-1.119181,1.65611,-1.379693,0.821344,1.492951,-0.323982,-1.566301,1.200199,P
-1.54456,0.497675,0.306919,-1.089056,-0.463938,-0.38261,0.805592,0.352773,0.275476,0.130832,1.761868,0.945393,-1.382954,0.847148,-0.204015,-1.66295,1.326349,-1.586668,-0.760096,-1.004013,-1.022885,-0.708661,-1.512467,-0.433024,-0.732865,P
-1.324827,0.995858,-0.377768,1.659653,1.655484,0.066492,-0.576842,-0.209132,-0.821251,-0.676649,-1.729623,-0.571645,0.840988,0.029407,-0.952225,-1.112803,-0.666182,0.207584,1.198795,-1.087762,1.266042,1.212356,-1.268005,-1.272348,1.294043,N
-1.532906,-1.609816,-1.641086,1.380452,0.485744,-0.804556,1.51869,1.774266,0.748047,-0.702959,-1.2968,-0.247742,-1.631124,-1.383581,-0.887355,-0.389751,1.227242,-0.377752,1.066324,0.576906,-0.085039,-1.002979,1.390779,0.722164,0.191923,N
-0.774607,1.014705,-1.664207,0.765739,1.691861,0.166834,-0.823054,-0.636562,-0.578985,1.109501,-1.247904,0.172698,-0.674207,-0.653803,-1.687638,1.415002,-1.004525,-1.697574,0.659296,0.067375,0.106826,1.401213,1.134352,1.499041,-0.50264,N
0.471902,0.25324,0.642076,0.88001,1.578201,-0.206625,0.729308,-0.313359,-0.449174,-0.321298,-0.818205,-0.505532,-0.533742,-0.907547,-0.108625,0.139319,-0.958032,0.116139,-0.58994,0.275501,0.204381,0.900617,-0.041148,1.115919,-1.598692,N
-0.163879,1.151174,0.418329,1.759616,1.480372,-0.193774,1.625489,-0.421532,0.678072,-1.348564,0.219291,0.354734,1.461873,-1.676698,-1.264313,-1.429133,0.576261,0.357081,0.764094,-1.460411,1.751904,0.583797,0.862199,0.464452,-0.982245,N
0.232783,1.241631,0.927324,-0.427302,0.723007,-1.063593,0.643677,0.943462,0.629838,-0.157815,-0.901397,-1.149924,-1.434159,-0.614246,-1.699564,1.682058,-0.519283,0.54741,1.394253,-0.408476,-1.674693,0.907709,0.978817,-0.000101,1.445355,N
-0.981875,0.224203,-0.665916,-1.185894,1.281354,0.379311,0.178482,0.09457,-1.617106,1.409355,-0.06703,-0.070062,0.471214,0.759366,-1.174977,-0.652067,-0.92143,0.61132,1.57041,-0.407439,0.766933,-1.033794,-0.069454,-1.593195,-1.074091,P
0.849156,0.079579,1.616953,0.408808,1.189254,0.412214,-1.201579,-0.437568,0.742971,-0.693936,-1.621218,-1.325066,0.196861,-0.020252,1.691384,0.015525,1.188072,-0.240198,-0.818234,0.744473,-1.348777,-0.150729,1.697561,0.188812,0.480948,N
-1.348214,-0.812504,-0.804329,1.035961,1.417461,-1.47084,-1.757644,0.361404,0.237112,-1.010031,-0.73286,-1.325112,0.378689,0.386835,-1.639976,0.081618,-0.717788,-1.337413,0.630449,0.220414,-0.614573,0.453981,1.404204,0.591689,-1.653993,N
0.514902,-0.289772,-0.540329,-0.393458,-0.266958,0.496605,1.208813,0.313104,-1.345374,0.040985,-0.611188,-0.214675,0.654649,0.825826,0.391351,0.011803,-0.941573,0.053013,0.23565,-0.628086,0.90503,0.115315,-0.559605,-1.447937,0.982252,N
1.125525,-0.623611,-0.438336,1.208595,1.318214,1.218411,0.57438,-0.30631,-0.625185,-0.136917,-0.655311,0.257491,1.122464,0.169164,1.377348,-1.63294,0.935156,-0.630638,0.832347,0.301647,0.897831,-0.122801,0.981783,0.150765,-1.634964,N
0.186767,1.384644,0.065218,-0.267632,0.477686,1.34357,0.312791,-0.861512,-0.277681,-1.684784,0.881874,-0.185348,-1.493503,-0.495219,-1.395335,0.918957,-1.477164,-0.062441,1.535547,1.334718,-0.599398,-0.431058,0.21289,1.387071,0.948467,N
1.045592,-1.11887,-1.18485,-0.969995,1.496813,-1.281282,-0.918713,1.123462,-0.348731,-0.850895,-0.253501,0.953592,-1.660955,-1.215575,-0.106008,1.695201,0.718231,-1.320135,1.418386,0.995609,-0.439124,-1.575704,1.499149,-0.927506,0.644815,P
-1.386079,-1.429261,0.187594,1.049568,0.192533,-0.767374,-1.043481,-1.372165,-1.501459,0.696143,-1.462769,-0.135715,1.615421,-0.266407,0.923364,1.168489,-0.0928,-1.191792,-1.486742,-1.471643,0.569163,0.736842,-1.643355,-0.900213,0.419493,P
-1.304227,0.168505,-0.536826,0.636644,0.092438,-0.377196,-1.145933,-0.541552,-1.490892,-0.219957,1.579374,-0.790617,1.153129,1.076937,-0.249975,-0.639554,0.818435,0.796532,0.031842,-0.253281,-0.48162,-0.983457,0.920846,-0.868472,1.432633,P
0.909353,0.727658,-0.150794,1.712541,-0.975079,0.09169,0.587122,0.080996,0.134112,0.471305,-0.880636,-0.952888,0.485664,-0.299227,-1.081323,-1.239636,-1.239679,-0.794289,-0.278884,0.669265,1.556951,0.236359,1.235962,0.392497,0.712752,N
-1.648983,-1.289938,-1.424307,-1.328099,-0.430183,0.867149,0.228883,0.864918,0.549042,-0.420386,-1.256047,-1.58762,-1.579971,-1.601053,0.374395,-1.482136,-0.008135,0.502904,1.488225,1.431318,-1.310877,0.642155,1.081568,0.157734,0.161944,P
-0.399829,-1.748544,-1.124343,0.76758,0.792397,-0.555794,-0.80897,0.709422,-1.082698,1.643281,0.099995,0.921408,-0.599957,0.098904,0.802704,-0.246213,1.586105,0.118843,1.175116,-0.09921,-0.781546,1.410524,-1.271385,0.067411,-0.948934,P
-0.560885,1.63266,0.399013,-0.139231,-0.856515,-0.515599,-1.522199,-0.258391,-0.248318,-1.26723,-0.665879,1.580388,0.775627,-1.005402,-0.444439,0.353061,0.576462,-1.420472,-0.911322,-0.431474,0.392582,-0.781735,0.543914,-1.465259,-0.86658,N
1.525157,0.912722,0.188521,-0.070192,-1.589361,-1.315023,-1.112386,-0.073081,-0.81215,-0.076161,-0.835542,-0.047186,1.237763,-1.583653,-1.73845,1.018278,1.000684,0.386882,1.170351,-0.570167,-1.248435,-0.003736,-1.057134,0.908378,0.460253,N
1.455257,1.123104,-0.348228,-1.609057,-1.53404,-0.803721,-1.085378,-0.100487,-1.398192,1.626468,0.678963,1.268393,-0.743394,-0.288157,1.532118,0.295586,-0.043506,-1.239707,-0.234013,-0.307691,0.689157,-1.65354,0.523595,-1.055363,-0.573584,P
-1.268743,0.603568,1.168864,-0.704984,1.6589,-1.220383,-1.681322,-1.339759,0.043185,0.6072,-1.495682,-0.536565,1.086682,0.07338,0.370828,-0.045458,0.57891,0.90611,0.122113,-0.18844,-1.004065,-1.755591,-1.68691,0.802692,-0.060193,P
1.586274,-0.106217,1.002786,1.629845,0.066181,-0.189369,1.348566,0.188915,0.846566,-1.591552,-0.431273,0.871723,0.684537,-0.228738,-1.144596,1.238722,1.312588,1.716801,-1.412606,1.658436,-0.504933,1.509004,1.575686,1.407904,1.069682,N
-1.573824,-1.197416,-0.491953,0.191695,0.186106,1.463856,-1.310421,0.874075,0.736712,0.661904,-0.124272,-0.357158,1.006603,-0.139986,-1.303348,1.581148,0.392336,-1.279199,-1.47897,0.248496,-1.539637,1.220672,-0.529913,1.286861,1.04653,P
0.267455,-0.500351,0.089249,-1.190414,0.615476,0.28423,-0.905215,0.328445,-0.707228,-0.094332,0.479152,-0.940538,0.623754,1.428391,-1.488671,-1.554171,-0.155095,-1.177289,1.320132,-0.638268,0.196976,1.125046,-0.693201,0.627055,1.36039,P
0.069857,1.621221,1.455525,-0.755283,1.370349,-1.297122,1.108983,1.701808,-1.359719,0.750157,0.823261,-0.453994,0.715213,-1.576736,-0.128306,-1.217759,-1.043427,-1.558799,-1.178063,0.814801,-1.334308,1.609145,0.559364,-0.965593,0.28724,N
-1.467504,-0.175376,0.834101,0.650922,-0.972597,-1.423003,1.621378,0.121976,-0.760089,-0.329676,0.75041,-0.864208,-0.485084,1.736866,0.382377,-0.598422,-1.663814,-0.529482,-0.167043,-0.429398,-0.863663,0.639653,0.283882,1.625267,1.264488,P
0.192774,0.298191,0.671888,-1.673821,-0.262397,-1.195652,1.394859,-0.728203,-0.806967,-1.323514,-1.301128,0.30681,-0.956025,-0.69264,0.949397,1.206067,1.015177,-0.006049,0.189269,1.527689,1.109893,0.381142,0.692863,0.144158,-1.272506,P
1.062591,-1.443087,-1.286458,-0.446825,-0.753098,-0.288926,-1.703286,-1.745526,0.451467,0.781322,-1.626904,0.639379,-1.604141,0.408319,0.300269,0.624247,0.180342,-1.209131,0.670887,-1.281376,0.261717,-0.551494,-1.494371,0.555144,1.589088,P
-1.058375,-0.713492,-1.247595,1.699931,-0.227936,-0.263941,-1.549775,-0.339541,0.705743,1.486444,-0.777479,-1.525159,-1.228551,-1.000209,0.071387,0.608884,0.555708,0.669523,1.420492,0.92453,1.435634,1.472938,-0.292734,0.874673,1.025163,N
0.854238,-1.137606,-1.363088,-0.069713,1.067261,0.263788,1.367573,-1.080758,-1.391027,0.601956,1.178,-0.277984,-0.545926,0.721505,-1.008444,0.553195,1.552088,-1.205078,0.289149,0.901239,1.015449,0.573036,-0.601846,-0.180993,-1.353291,N
-0.797007,-1.402878,0.204022,0.53357,-0.152778,0.252929,1.485421,0.783943,-0.792969,-1.11057,0.980887,1.023094,-1.651924,1.603571,1.132803,0.017151,0.951035,0.059635,1.707856,-0.052777,-0.768969,-0.946208,-0.534203,0.842647,1.33667,P
-0.944304,1.393399,0.678302,1.54499,-0.582089,-0.479707,-0.130431,0.782409,1.091165,-0.609021,-0.421961,0.372271,-0.800908,-1.566619,0.932704,-1.546598,-1.220403,0.106728,0.057598,0.619833,0.494578,-1.508725,-1.496303,0.319701,0.989332,N
0.57217,-1.236251,-0.091707,-0.857838,-1.180574,-0.342595,0.042356,-1.110854,0.426543,1.64829,0.530533,0.703549,0.054188,0.282834,-0.881922,0.456951,-0.563244,-0.158246,-1.524,-1.144192,1.146818,1.534627,1.209475,1.599245,-0.914287,P
1.63447,-0.256862,-1.684768,0.499296,-0.518337,1.20545,1.298868,-0.123258,-1.607193,0.811733,-0.608064,1.516949,0.888594,-0.347232,0.308507,-1.6035,1.471333,-1.27291,1.470438,1.243634,-0.224411,-0.512856,0.092214,0.150276,-0.387356,N
1.499359,0.078821,-1.01298,1.238173,1.335495,0.612782,-1.010642,-1.147353,0.128239,-0.143098,-1.636277,-0.647566,-1.567096,1.635921,-1.550222,0.424714,-1.282918,-1.213396,-0.695176,-1.31534,0.786108,-1.039702,-0.792534,-1.465621,1.461658,N
-1.347842,0.846725,-0.014555,0.706629,-1.150714,1.348992,0.731495,-0.570813,-1.18177,0.841895,-0.665443,1.608321,0.960643,-1.45228,-0.170492,-0.08654,-0.901787,1.505998,-1.392996,1.640812,0.613199,0.172259,1.74471,1.633551,0.347308,P
