@relation JapaneseVowels-weka.filters.unsupervised.attribute.Copy-R1-weka.filters.unsupervised.attribute.Remove-R1

@attribute utterance numeric
@attribute frame numeric
@attribute coefficient1 numeric
@attribute coefficient2 numeric
@attribute coefficient3 numeric
@attribute coefficient4 numeric
@attribute coefficient5 numeric
@attribute coefficient6 numeric
@attribute coefficient7 numeric
@attribute coefficient8 numeric
@attribute coefficient9 numeric
@attribute coefficient10 numeric
@attribute coefficient11 numeric
@attribute coefficient12 numeric
@attribute binaryClass {P,N}

@data
2,11,1.64063,-0.471932,0.091516,0.061063,0.165614,-0.212629,-0.046723,-0.034998,-0.210997,-0.221234,-0.175446,0.072476,N
2,12,1.591455,-0.471778,0.125782,0.048809,0.250247,-0.188473,-0.121802,0.001121,-0.280562,-0.177655,-0.1194,0.011129,N
2,13,1.582411,-0.507225,0.278858,-0.058031,0.28728,-0.155876,-0.104452,-0.085458,-0.320138,-0.125466,-0.101151,0.049713,N
2,14,1.541301,-0.530376,0.363522,-0.087405,0.251401,-0.116625,-0.04708,-0.164929,-0.350866,-0.086459,-0.096591,0.082467,N
2,15,1.592347,-0.596831,0.39001,-0.012749,0.198339,-0.130853,0.035449,-0.209978,-0.387018,-0.056789,-0.094819,0.086401,N
2,16,1.674087,-0.659717,0.38017,0.048824,0.221404,-0.180924,0.021967,-0.235745,-0.321056,-0.098248,-0.162255,0.202347,N
2,17,1.681482,-0.614351,0.381238,0.043964,0.279883,-0.193816,-0.012821,-0.211565,-0.302557,-0.136598,-0.173016,0.248909,N
2,18,1.647909,-0.658696,0.511363,-0.02978,0.314603,-0.15943,-0.057186,-0.127571,-0.380802,-0.091613,-0.143742,0.154534,N
2,19,1.570202,-0.665777,0.478356,0.003514,0.288,-0.130158,-0.056077,-0.119485,-0.359916,-0.09191,-0.135773,0.076777,N
2,20,1.61242,-0.60699,0.416774,0.050611,0.24054,-0.08176,-0.047219,-0.173372,-0.269674,-0.118128,-0.176121,0.075934,N
2,21,1.589158,-0.526371,0.437124,-0.069075,0.280104,-0.006222,-0.121158,-0.31031,-0.14869,-0.07524,-0.245672,0.131027,N
2,22,1.519606,-0.524418,0.443297,0.032485,0.323836,-0.0698,-0.170755,-0.391098,-0.098999,-0.029453,-0.198052,0.127282,N
2,23,1.452399,-0.623031,0.527393,0.222107,0.268061,-0.120266,-0.179147,-0.396988,-0.0636,-0.04565,-0.18457,0.102709,N
2,24,1.370862,-0.621346,0.600771,0.283197,0.250333,-0.180777,-0.191649,-0.353358,-0.044004,-0.105327,-0.193044,0.119152,N
2,25,1.307289,-0.600573,0.620979,0.385506,0.210833,-0.251575,-0.228647,-0.305328,-0.014519,-0.167528,-0.175811,0.088565,N
2,26,1.334578,-0.542157,0.558104,0.470417,0.229124,-0.263825,-0.251754,-0.331181,-0.007968,-0.188285,-0.13861,0.054478,N
3,1,1.462484,0.174066,0.505133,-0.374302,-0.362125,-0.400335,-0.137429,-0.00083,0.053888,-0.23763,0.120636,0.193254,N
3,2,1.309815,0.120183,0.503046,-0.327562,-0.356789,-0.445498,-0.060423,-0.007899,0.041605,-0.231087,0.121053,0.202386,N
3,3,1.418207,0.015721,0.589994,-0.310586,-0.477019,-0.367101,-0.120849,0.066952,-0.023859,-0.224317,0.175298,0.15667,N
3,4,1.585858,-0.148691,0.696888,-0.433672,-0.369871,-0.325267,-0.192924,0.12444,-0.041498,-0.20858,0.129806,0.146745,N
3,5,1.651997,-0.17902,0.55765,-0.35244,-0.286346,-0.303667,-0.210818,0.104599,0.040954,-0.219516,0.022768,0.187322,N
3,6,1.486123,-0.091183,0.336031,-0.131567,-0.333492,-0.258345,-0.201333,0.043862,0.073675,-0.24716,-0.002587,0.190969,N
3,7,1.612464,-0.274628,0.390098,-0.212909,-0.22267,-0.244786,-0.217033,0.010084,0.049756,-0.24424,-0.040954,0.207889,N
3,8,1.723449,-0.390642,0.417834,-0.246235,-0.193408,-0.197558,-0.173189,0.070316,-0.015199,-0.344519,-0.048362,0.248583,N
3,9,1.908451,-0.580881,0.431328,-0.259862,-0.209985,-0.07967,-0.147213,0.134547,-0.051157,-0.451099,-0.077406,0.226654,N
3,10,2.12526,-0.826085,0.488411,-0.281048,-0.163277,-0.008763,-0.18626,0.124482,-0.054817,-0.464356,-0.132886,0.172822,N
3,11,1.990155,-0.935262,0.470629,-0.153762,-0.091035,0.035063,-0.258664,0.058584,-0.014116,-0.473753,-0.146977,0.197983,N
3,12,2.08031,-1.042286,0.525433,-0.104984,0.011769,0.078796,-0.371083,-0.013916,-0.020054,-0.478964,-0.093402,0.230359,N
3,13,1.66936,-0.679862,0.256937,0.069152,0.122822,0.099089,-0.408978,-0.108924,-0.046027,-0.432718,-0.059613,0.247765,N
3,14,1.882291,-0.885675,0.428198,0.002923,0.265651,0.115176,-0.406025,-0.163888,-0.123137,-0.360651,-0.031532,0.200109,N
3,15,1.626219,-0.70789,0.336811,0.044792,0.34695,0.06619,-0.332076,-0.116821,-0.226604,-0.362263,0.004972,0.161445,N
3,16,1.26019,-0.485673,0.234296,0.141639,0.30789,0.124684,-0.332177,-0.168295,-0.174656,-0.385416,-0.004726,0.184454,N
3,17,1.274111,-0.546423,0.296681,0.152304,0.31242,0.194313,-0.420622,-0.18505,-0.141055,-0.32044,0.02087,0.099264,N
3,18,1.4529,-0.704247,0.378652,0.242781,0.311237,0.192922,-0.452417,-0.18149,-0.116275,-0.295192,0.053308,0.06499,N
3,19,1.572425,-0.867819,0.452938,0.29608,0.312264,0.161462,-0.416084,-0.171377,-0.106756,-0.303018,0.042348,0.079769,N
3,20,1.565221,-0.811536,0.483607,0.264737,0.340265,0.173855,-0.421479,-0.181123,-0.093458,-0.289787,0.043696,0.066179,N
3,21,1.671099,-0.910977,0.587177,0.225236,0.370719,0.147173,-0.431996,-0.146687,-0.106379,-0.296911,0.065611,0.046339,N
3,22,1.633764,-0.935421,0.574273,0.269021,0.371818,0.119741,-0.396788,-0.122981,-0.152855,-0.268283,0.095911,-0.015915,N
4,1,1.160837,0.078806,0.237706,-0.010878,-0.393053,-0.744686,0.173073,-0.012922,-0.071948,0.028707,0.07482,0.146297,N
4,2,1.217979,-0.043693,0.378571,-0.055125,-0.399601,-0.756213,0.189754,0.014265,-0.099093,0.03897,0.049702,0.164537,N
4,3,1.234654,-0.107083,0.504189,-0.151549,-0.409837,-0.666554,0.176855,0.024257,-0.085188,0.005654,-0.007566,0.168465,N
4,4,1.457268,-0.318523,0.427336,-0.127365,-0.399821,-0.612514,0.236434,0.039318,-0.129377,-0.053426,-0.064975,0.131102,N
4,5,1.534783,-0.414512,0.273407,-0.008643,-0.452153,-0.532525,0.275157,0.032256,-0.135727,-0.158885,-0.070709,0.073425,N
4,6,1.505516,-0.466125,0.317178,-0.06588,-0.476936,-0.353201,0.165807,0.006522,-0.077765,-0.253737,-0.153013,0.116918,N
4,7,1.552154,-0.535885,0.410055,-0.182647,-0.438259,-0.233271,0.085723,0.030157,-0.077588,-0.336853,-0.190216,0.165516,N
4,8,1.497978,-0.67432,0.473896,-0.228218,-0.376289,-0.168635,-0.002026,0.034234,-0.082042,-0.352695,-0.204131,0.165831,N
4,9,1.543273,-0.853992,0.582981,-0.157712,-0.365579,-0.095108,-0.108669,0.035963,-0.057307,-0.386457,-0.185253,0.16828,N
4,10,1.623602,-0.883008,0.573858,-0.090257,-0.334159,-0.047162,-0.160032,0.009218,-0.043002,-0.406532,-0.161626,0.17891,N
4,11,1.626277,-0.844833,0.55501,-0.044239,-0.308894,-0.003722,-0.225799,-0.06849,-0.008632,-0.340455,-0.155957,0.139002,N
4,12,1.63463,-0.84696,0.575776,0.038173,-0.245206,0.029938,-0.301001,-0.122305,0.014359,-0.281971,-0.146793,0.083612,N
4,13,1.65847,-0.880809,0.595335,0.013667,-0.056339,-0.017231,-0.331172,-0.102574,-0.097225,-0.266548,-0.025202,0.030883,N
4,14,1.653296,-0.987157,0.733377,0.012034,0.003833,0.031168,-0.372246,-0.133379,-0.12298,-0.25823,0.034436,0.008776,N
4,15,1.704241,-1.078002,0.869738,-0.023985,0.000518,0.08961,-0.418634,-0.165928,-0.109833,-0.251303,0.034556,-0.025393,N
4,16,1.556289,-1.043587,0.909457,-0.018181,0.018808,0.033865,-0.410164,-0.134829,-0.178459,-0.244507,0.090128,-0.077927,N
4,17,1.421861,-1.056354,0.874371,0.061409,0.073847,-0.01579,-0.410899,-0.098065,-0.207248,-0.267319,0.119465,-0.098507,N
4,18,1.31135,-1.039592,0.838275,0.083326,0.138074,-0.001436,-0.399484,-0.100748,-0.244054,-0.27706,0.133377,-0.090556,N
4,19,1.175227,-0.937689,0.701567,0.200096,0.201766,-0.031186,-0.363746,-0.090629,-0.279473,-0.281225,0.130948,-0.082822,N
4,20,1.335523,-1.090194,0.832941,0.144356,0.217119,-0.074302,-0.395826,-0.05633,-0.283548,-0.268979,0.09866,-0.098007,N
5,1,1.66567,-0.251224,0.30971,-0.371666,-0.311727,-0.520932,-0.21593,0.255584,0.048732,-0.115333,0.063014,0.156787,N
5,2,1.685376,-0.305126,0.339418,-0.455499,-0.259315,-0.5026,-0.195365,0.185427,0.076114,-0.106838,-0.036998,0.200715,N
5,3,1.541171,-0.238987,0.295073,-0.447638,-0.200163,-0.495071,-0.189373,0.123212,0.130086,-0.125721,-0.100226,0.232676,N
5,4,1.479049,-0.278182,0.351733,-0.476356,-0.134112,-0.463027,-0.258962,0.179394,0.077287,-0.15946,-0.060428,0.203395,N
5,5,1.602405,-0.359135,0.370285,-0.490972,-0.114847,-0.473727,-0.209386,0.131919,0.008094,-0.178367,-0.121264,0.271936,N
5,6,1.616784,-0.373741,0.264209,-0.391096,-0.06592,-0.523488,-0.100301,0.046133,-0.076248,-0.176394,-0.157841,0.329654,N
5,7,1.560852,-0.32432,0.08428,-0.169021,-0.058893,-0.557847,-0.032517,0.049321,-0.134548,-0.193288,-0.088907,0.251756,N
5,8,1.586381,-0.335201,0.094031,-0.119184,0.027851,-0.475723,-0.169229,0.060178,-0.188224,-0.16409,-0.045568,0.149243,N
5,9,1.55236,-0.425376,0.199152,-0.039058,0.07622,-0.416775,-0.228764,0.065394,-0.183333,-0.120764,-0.088878,0.042436,N
5,10,1.756285,-0.615969,0.208466,-0.047114,0.212092,-0.417191,-0.204745,-0.049585,-0.189937,-0.075709,-0.209564,0.074583,N
5,11,1.678263,-0.668299,0.309991,-0.106823,0.256535,-0.295843,-0.245288,-0.148974,-0.158393,-0.059683,-0.293401,0.08855,N
5,12,1.65066,-0.744537,0.377687,-0.010016,0.24253,-0.280315,-0.297346,-0.186301,-0.153023,-0.047579,-0.245426,0.047008,N
5,13,1.627512,-0.753931,0.230844,0.148994,0.216088,-0.27685,-0.23204,-0.227556,-0.168355,-0.094685,-0.181778,0.061112,N
5,14,1.612174,-0.724072,0.121253,0.269891,0.333275,-0.345888,-0.170601,-0.171993,-0.272781,-0.098009,-0.111772,0.05563,N
5,15,1.560036,-0.706304,0.164484,0.308054,0.304618,-0.246276,-0.181531,-0.209579,-0.260218,-0.130769,-0.062059,0.084525,N
5,16,1.513187,-0.782704,0.289054,0.256406,0.237954,-0.123745,-0.210291,-0.278591,-0.193769,-0.139636,-0.08706,0.118787,N
5,17,1.463309,-0.796814,0.35513,0.238131,0.252769,-0.08381,-0.27268,-0.239268,-0.162374,-0.159496,-0.071656,0.087922,N
5,18,1.449662,-0.922675,0.480473,0.224269,0.227253,0.02826,-0.391606,-0.183462,-0.123246,-0.221048,-0.000435,0.035291,N
5,19,1.361718,-0.960896,0.559628,0.226486,0.235033,0.063513,-0.455297,-0.159983,-0.100619,-0.25841,0.037011,0.008935,N
5,20,1.254506,-0.869107,0.554876,0.280537,0.260423,-0.0192,-0.447082,-0.113791,-0.110484,-0.289957,0.039887,0.026577,N
5,21,1.251355,-0.875268,0.593917,0.332128,0.276972,-0.10635,-0.387802,-0.113938,-0.130651,-0.258918,0.002197,0.021173,N
6,1,1.316781,0.208962,0.247252,-0.122314,-0.291894,-0.538407,0.038262,0.028536,-0.165629,-0.145149,0.112608,0.108192,N
6,2,1.546594,0.153905,0.208579,-0.126525,-0.347069,-0.575495,0.129119,0.029862,-0.12089,-0.077795,0.037846,0.080831,N
6,3,1.608876,-0.017998,0.340853,-0.161172,-0.493625,-0.438199,0.073069,0.037607,-0.038292,-0.169238,0.028236,0.109325,N
6,4,1.500528,-0.028411,0.437274,-0.334035,-0.433048,-0.348928,0.077534,0.009284,-0.036945,-0.234477,0.021624,0.162682,N
6,5,1.310997,-0.030111,0.507571,-0.491682,-0.360644,-0.290714,0.133114,-0.011299,-0.103233,-0.171606,-0.033292,0.112799,N
6,6,1.321061,-0.043778,0.324998,-0.320261,-0.36592,-0.236857,0.057422,-0.029263,-0.095248,-0.267429,0.003456,0.12095,N
6,7,1.450239,-0.080798,0.204418,-0.149472,-0.341621,-0.215631,-0.077424,-0.005952,-0.121362,-0.375987,0.066614,0.210394,N
6,8,1.531836,-0.156028,0.190886,-0.163969,-0.231265,-0.193294,-0.237795,0.027416,-0.113438,-0.399447,0.067804,0.235495,N
6,9,1.634158,-0.344119,0.216047,-0.178078,-0.164999,-0.106416,-0.302677,-0.002384,-0.102691,-0.386465,0.036043,0.235927,N
6,10,1.780029,-0.532443,0.21,-0.150181,-0.127082,-0.035412,-0.234951,-0.050771,-0.136983,-0.391376,-0.023714,0.265352,N
6,11,1.862115,-0.707949,0.18435,0.032872,-0.125617,-0.029569,-0.199874,-0.075182,-0.182564,-0.368635,-0.016512,0.284451,N
6,12,1.788249,-0.768673,0.283067,0.081496,0.043878,-0.204872,-0.189915,-0.122166,-0.273674,-0.23823,0.048968,0.223579,N
6,13,1.558448,-0.647224,0.182383,0.1677,0.192839,-0.298809,-0.222101,-0.179669,-0.246067,-0.17018,0.031181,0.196374,N
6,14,1.527604,-0.61904,0.133084,0.185089,0.212895,-0.226078,-0.244898,-0.235385,-0.233182,-0.159263,0.028516,0.152444,N
6,15,1.800617,-0.790902,0.326549,0.112653,0.187628,-0.201391,-0.241863,-0.26156,-0.288767,-0.137291,-0.012089,0.134224,N
6,16,1.547859,-0.708329,0.230714,0.301073,0.139891,-0.207068,-0.239155,-0.257594,-0.238636,-0.17912,-0.011356,0.081306,N
6,17,1.611904,-0.821887,0.364913,0.271679,0.11478,-0.195785,-0.267947,-0.24272,-0.249445,-0.195197,0.005866,0.086699,N
6,18,1.606463,-0.850473,0.510641,0.262553,0.08998,-0.142387,-0.292794,-0.284728,-0.225541,-0.19478,0.013731,0.108453,N
6,19,1.523198,-0.83004,0.368123,0.38173,0.133352,-0.14214,-0.283807,-0.275013,-0.223317,-0.157839,0.017047,0.04699,N
6,20,1.426542,-0.877377,0.474689,0.389244,0.197516,-0.183735,-0.293493,-0.217475,-0.227767,-0.154633,0.019405,0.028457,N
6,21,1.313754,-0.784868,0.562344,0.399884,0.181482,-0.149606,-0.28253,-0.247117,-0.174886,-0.164402,-0.005472,0.056626,N
6,22,1.445636,-0.71548,0.558721,0.452585,0.18009,-0.142327,-0.238381,-0.284529,-0.172752,-0.158843,-0.009701,0.075992,N
6,23,1.622524,-0.763775,0.644036,0.389923,0.230516,-0.121277,-0.304381,-0.241366,-0.180656,-0.159602,0.010511,0.052609,N
7,1,1.298242,-0.145848,0.602439,-0.558909,-0.063299,-0.371642,0.001086,0.285956,-0.238774,-0.188824,-0.040123,0.122868,N
7,2,1.284513,-0.115359,0.509488,-0.524351,-0.097627,-0.352564,0.080347,0.182553,-0.266852,-0.167901,-0.049674,0.124165,N
7,3,1.366785,-0.177232,0.502441,-0.571654,-0.079904,-0.33902,0.067623,0.103885,-0.276118,-0.120408,-0.105818,0.15972,N
7,4,1.372831,-0.191557,0.459848,-0.499487,-0.03967,-0.333126,-0.005106,0.087083,-0.247359,-0.152682,-0.067913,0.176425,N
7,5,1.417637,-0.157945,0.520153,-0.572629,-0.039446,-0.253199,-0.059307,0.048715,-0.282594,-0.206558,-0.00389,0.169362,N
7,6,1.417835,-0.099372,0.471114,-0.595027,0.110219,-0.337169,-0.115554,0.069107,-0.374232,-0.216007,0.012745,0.177393,N
7,7,1.350428,-0.133935,0.443349,-0.452326,0.159401,-0.351955,-0.156536,-0.013074,-0.340212,-0.219998,0.022386,0.208493,N
7,8,1.306239,-0.197304,0.409404,-0.363984,0.229075,-0.342244,-0.19479,-0.06831,-0.251026,-0.218385,-0.05055,0.251723,N
7,9,1.418816,-0.221052,0.33791,-0.282619,0.28575,-0.349318,-0.246278,-0.053703,-0.278733,-0.289131,-0.002221,0.271178,N
7,10,1.561812,-0.341313,0.532809,-0.338048,0.276729,-0.254892,-0.321675,-0.026014,-0.328668,-0.306133,0.023878,0.258802,N
7,11,1.285543,-0.250419,0.485271,-0.279746,0.293163,-0.222749,-0.293701,-0.015083,-0.246913,-0.336171,0.025722,0.220069,N
7,12,1.160802,-0.313657,0.479699,-0.164835,0.269481,-0.174039,-0.302722,-0.052517,-0.205106,-0.375349,0.062873,0.240106,N
7,13,1.34109,-0.434988,0.530374,-0.126942,0.318548,-0.13489,-0.38327,-0.119058,-0.211241,-0.333793,0.09909,0.231482,N
7,14,1.382492,-0.40479,0.471562,-0.063385,0.369611,-0.161873,-0.412308,-0.16332,-0.181777,-0.298663,0.079851,0.185592,N
7,15,1.339451,-0.481133,0.570811,-0.047414,0.414503,-0.202914,-0.44236,-0.142528,-0.182088,-0.266776,0.048488,0.152438,N
7,16,1.121185,-0.487641,0.615707,-0.069434,0.425557,-0.201003,-0.348885,-0.145906,-0.254205,-0.241451,0.066971,0.141763,N
7,17,1.082868,-0.564467,0.685535,-0.056664,0.419323,-0.136114,-0.348527,-0.181743,-0.270824,-0.205987,0.076224,0.113327,N
7,18,0.967712,-0.520098,0.726917,-0.028067,0.37489,-0.020208,-0.362509,-0.260621,-0.221138,-0.186627,0.07712,0.017963,N
7,19,0.939699,-0.500703,0.762015,0.005092,0.360897,-0.048284,-0.378706,-0.22562,-0.226413,-0.218629,0.096138,-0.041842,N
7,20,0.895805,-0.531574,0.818346,0.025463,0.356354,-0.083756,-0.385054,-0.157173,-0.234492,-0.253865,0.078315,-0.058649,N
7,21,0.971273,-0.624686,0.909781,0.027477,0.338503,-0.051478,-0.443278,-0.115329,-0.232085,-0.262236,0.08791,-0.109648,N
7,22,0.893762,-0.589257,0.889266,0.122634,0.302502,-0.012828,-0.420706,-0.11013,-0.215093,-0.271401,0.095645,-0.134627,N
8,1,1.685639,-0.170479,0.57703,-0.756917,-0.033735,-0.338705,-0.430485,0.307383,0.000945,-0.126192,0.000879,-0.047986,N
8,2,1.698825,-0.245514,0.501133,-0.663925,-0.039698,-0.355668,-0.405613,0.299955,0.019627,-0.144827,-0.054213,-0.052114,N
8,3,1.750511,-0.308582,0.53531,-0.715814,0.040141,-0.356215,-0.477349,0.336016,-0.000313,-0.211349,-0.082473,-0.037075,N
8,4,1.67545,-0.310491,0.588458,-0.709855,0.094683,-0.328834,-0.479756,0.345373,-0.04262,-0.277127,-0.086374,-0.001209,N
8,5,1.677717,-0.331005,0.557505,-0.691774,0.167053,-0.277809,-0.484052,0.29072,-0.081371,-0.311812,-0.0978,0.034412,N
8,6,1.686637,-0.387487,0.531985,-0.589601,0.204824,-0.281143,-0.547638,0.219321,-0.089845,-0.316456,-0.062805,0.048987,N
8,7,1.588764,-0.408304,0.438431,-0.431921,0.208249,-0.252435,-0.501121,0.146282,-0.083805,-0.342953,-0.051415,0.086083,N
8,8,1.538907,-0.420475,0.408907,-0.424434,0.237207,-0.198122,-0.463432,0.121427,-0.106065,-0.365806,-0.056661,0.109736,N
8,9,1.535322,-0.443226,0.381586,-0.37968,0.249742,-0.112427,-0.404311,0.047588,-0.152123,-0.366294,-0.043276,0.142535,N
8,10,1.593539,-0.517504,0.347412,-0.343879,0.279953,-0.033607,-0.410133,-0.00174,-0.181685,-0.365399,-0.014849,0.141845,N
8,11,1.665299,-0.607764,0.311501,-0.274218,0.283223,-0.008129,-0.403271,-0.009471,-0.226521,-0.353389,0.026372,0.113182,N
8,12,1.586304,-0.614515,0.267663,-0.239787,0.337778,-0.007428,-0.383705,-0.021307,-0.291419,-0.297178,0.059879,0.067328,N
8,13,1.545194,-0.67266,0.408341,-0.284756,0.361038,0.012793,-0.410656,0.001494,-0.316842,-0.306321,0.097692,0.056051,N
8,14,1.507911,-0.69765,0.408211,-0.163966,0.351258,-0.025547,-0.410941,0.021945,-0.295964,-0.309313,0.087452,0.024961,N
8,15,1.490069,-0.698884,0.398661,-0.06401,0.366971,-0.067635,-0.436847,-0.006558,-0.234806,-0.268016,0.035742,-0.010386,N
8,16,1.413099,-0.583097,0.45115,-0.02251,0.347019,-0.11885,-0.459499,-0.010529,-0.193043,-0.295222,0.045972,0.017651,N
8,17,1.346525,-0.538645,0.510571,0.116505,0.323031,-0.259461,-0.51408,0.023528,-0.147556,-0.29126,0.043178,-0.016265,N
8,18,1.493634,-0.749443,0.704848,0.03515,0.373614,-0.218369,-0.616608,-0.001447,-0.122072,-0.283037,0.043216,-0.010643,N
9,1,1.516243,-0.421519,0.310573,-0.202095,-0.320116,-0.217247,-0.027017,0.267714,0.051747,-0.261525,-0.086583,0.102423,N
9,2,1.522134,-0.242862,0.281658,-0.276902,-0.295546,-0.091977,-0.070047,0.176537,0.009498,-0.388598,-0.030845,0.19656,N
9,3,1.538597,-0.145072,0.238779,-0.268656,-0.358038,0.023831,-0.070798,0.102855,-0.009672,-0.438297,-0.022689,0.235453,N
9,4,1.4958,-0.15284,0.158021,-0.257449,-0.287451,0.015743,-0.100512,0.091736,0.000477,-0.498749,-0.047789,0.25729,N
9,5,1.664994,-0.442855,0.293956,-0.263568,-0.169211,0.051132,-0.189122,0.112994,0.003736,-0.482284,-0.088953,0.250057,N
9,6,1.69838,-0.544536,0.266387,-0.134894,-0.073217,0.12754,-0.288386,-0.00397,0.035204,-0.40045,-0.130278,0.213545,N
9,7,1.729965,-0.591056,0.34575,-0.121536,0.036976,0.156905,-0.287593,-0.141473,-0.041858,-0.323904,-0.09804,0.182918,N
9,8,1.474845,-0.463698,0.231882,0.008104,0.033747,0.151155,-0.288897,-0.138789,-0.099927,-0.347759,-0.080469,0.194919,N
9,9,1.472562,-0.505034,0.295663,0.063633,0.096361,0.056352,-0.292923,-0.116145,-0.137168,-0.361634,-0.049339,0.181009,N
9,10,1.47459,-0.540542,0.433514,0.159165,0.186466,-0.000912,-0.407321,-0.109365,-0.129811,-0.292933,0.023334,0.077343,N
9,11,1.575489,-0.681505,0.433878,0.203983,0.250439,0.051999,-0.386008,-0.150184,-0.185599,-0.242247,0.087925,0.057007,N
9,12,1.634094,-0.740702,0.449017,0.216088,0.259054,0.085238,-0.336907,-0.20773,-0.206868,-0.200138,0.099617,0.062301,N
